Date,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2024-07-07,2888.72,0.00,70.00,949.95,1.91,2.00,36.21,6.96,2.07,3.28,365.39,404.16,29.62,208.34,6.11,30.74,717.57,0.86,13.79,185.57,2.61,1311.47,2237.98,152.51,2639.21,9.12,373.42,21.48,78.25,107.45,0.41,346.06,83.22,833.47,18.77,9.68,33.88,0.58,0.85,8.33,2.49,3.66,7.49,11.72,10.39,3.58,5.97,162.11,6.68,1.81,4.91,7.48,false
2024-07-08,2865.87,0.00,0.00,386.54,0.87,1.13,33.56,7.40,3.15,2.37,133.54,369.61,48.61,141.96,8.85,55.41,391.42,1.22,9.56,200.75,0.99,956.15,2913.94,109.08,2062.99,5.85,309.77,26.43,103.78,48.05,0.00,283.31,121.07,877.30,29.73,26.07,37.97,0.83,3.00,22.26,1.38,2.62,4.76,6.94,7.30,2.48,3.96,130.70,3.93,1.13,3.28,4.86,false
2024-07-09,1543.03,0.00,70.00,829.56,1.12,1.30,55.02,7.89,2.92,3.03,465.61,692.32,0.00,150.50,3.04,2.71,370.27,0.66,23.66,234.97,3.49,1494.76,1492.56,180.49,658.72,9.47,130.50,6.67,104.40,2.63,0.00,123.76,38.70,899.50,13.85,7.70,10.98,0.37,0.58,6.81,2.44,4.64,8.20,12.13,12.54,4.33,6.73,157.99,6.63,1.87,5.44,8.20,false
2024-07-10,1572.77,0.00,70.00,901.79,1.03,1.35,55.10,7.67,2.96,3.03,357.53,479.13,9.89,150.50,3.38,12.30,289.14,0.74,17.15,214.05,2.66,1403.92,1656.88,174.23,581.24,8.99,146.06,11.14,88.54,24.63,0.00,129.71,37.09,899.50,13.40,7.21,10.65,0.36,0.57,6.34,2.32,4.57,8.09,11.90,12.39,4.27,6.57,155.48,6.56,1.83,5.34,8.04,false
2024-07-11,1436.01,0.00,70.00,672.77,0.85,1.47,54.08,6.71,2.80,3.03,301.73,367.97,10.49,150.50,3.17,11.77,291.50,0.52,11.76,158.06,0.96,1217.54,1499.10,155.88,740.88,7.50,112.09,13.81,36.34,27.16,0.00,93.10,36.72,899.50,12.61,6.38,11.15,0.36,0.53,5.56,2.11,4.39,7.77,11.28,12.05,4.11,6.16,155.89,6.30,1.73,5.09,7.58,false
2024-07-12,1359.40,0.00,70.00,306.77,0.50,1.27,38.96,5.01,1.98,2.69,214.00,356.00,0.60,145.50,2.36,1.35,240.00,0.17,8.98,96.00,0.09,906.00,930.00,119.40,1159.50,5.27,85.83,7.67,0.00,57.97,0.00,78.15,54.76,814.50,10.74,5.06,26.36,0.27,0.40,4.43,1.63,3.32,5.92,8.57,9.23,3.15,4.68,123.23,4.82,1.31,3.90,5.75,false
2024-07-13,1955.74,0.00,10.15,590.94,1.20,2.32,18.16,6.42,1.61,4.05,624.75,479.00,17.42,145.81,5.57,26.36,1065.21,0.73,11.92,272.26,1.34,1360.16,2541.28,102.12,1158.94,7.92,242.47,27.51,45.02,133.59,52.94,214.92,71.27,694.77,20.97,10.57,30.07,0.68,1.51,8.69,1.19,2.38,4.32,6.82,6.35,2.05,4.02,93.54,3.51,1.02,3.05,4.62,false
2024-07-14,1818.66,0.00,10.15,836.22,1.03,1.67,53.02,6.89,2.82,3.41,392.43,391.18,15.44,30.31,4.60,21.64,1004.85,0.92,15.22,311.52,1.80,1771.24,2774.12,129.04,792.84,9.97,192.63,20.08,44.98,108.76,52.94,167.39,49.94,390.27,18.67,8.17,18.79,0.92,1.22,6.47,1.99,4.60,8.02,11.86,12.55,3.99,6.42,153.60,6.38,1.85,5.30,7.88,false
2024-07-15,1453.77,0.00,140.00,561.83,1.23,0.87,56.08,5.25,2.64,1.36,638.81,463.33,2.20,20.00,1.44,4.43,444.64,0.58,21.30,211.99,2.06,1149.38,1411.78,118.45,877.36,7.25,144.87,22.94,61.75,8.49,0.00,121.90,24.79,340.00,7.00,4.88,7.69,0.36,0.45,4.18,1.85,4.22,7.15,10.44,11.34,3.66,5.74,154.85,5.70,1.62,4.63,6.95,false
2024-07-16,2880.96,0.00,140.00,765.53,0.82,1.46,53.99,7.77,3.62,3.10,322.28,774.93,20.53,154.88,5.24,31.40,724.65,0.63,15.47,243.56,2.44,1370.52,2789.88,171.18,2094.56,8.38,295.68,41.45,64.90,72.52,0.00,254.17,99.87,1012.91,26.22,16.19,45.02,1.83,1.66,13.44,2.25,4.65,7.97,11.70,12.35,4.19,6.45,187.11,6.46,1.80,5.23,7.87,false
2024-07-17,1914.50,0.00,0.00,370.97,0.78,1.54,52.98,5.98,2.58,3.03,354.00,470.00,1.20,150.50,2.63,1.65,375.00,0.22,13.77,123.00,0.11,1122.00,1177.00,143.80,1726.00,6.50,141.68,14.50,0.00,87.68,0.00,127.17,72.96,899.50,12.28,6.04,36.98,0.36,0.50,5.25,2.02,4.28,7.56,10.89,11.86,4.01,5.91,163.51,6.13,1.67,4.94,7.28,false
